scenario,previous_utterance,current_utterance,label
Gaming Session Planning,"Check out the new skin I just unlocked for my character.","awesome",1
Gaming Session Planning,"Check out the new skin I just unlocked for my character.","awesome, how many credits did that one cost you?",0
Gaming Session Planning,"Just ping the location on the map when you find the target.","got it",1
Gaming Session Planning,"Just ping the location on the map when you find the target.","got it, but my ping key isn't working, what's the default keybind?",0
Gaming Session Planning,"We need a tank for this dungeon because the boss hits really hard with single-target attacks.","that makes sense",1
Gaming Session Planning,"We need a tank for this dungeon because the boss hits really hard with single-target attacks.","that makes sense, I'll switch to my warrior build then.",0
Gaming Session Planning,"I have an extra health potion if you need one before the fight.","perfect",1
Gaming Session Planning,"I have an extra health potion if you need one before the fight.","perfect, can you drop it by the entrance?",0
Gaming Session Planning,"So you mean we should coordinate our ultimate abilities to wipe them all at once?","exactly",1
Gaming Session Planning,"So you mean we should coordinate our ultimate abilities to wipe them all at once?","exactly, you use yours first to stun them, then I'll follow up with mine for damage.",0
Gaming Session Planning,"gonna grab a drink brb in 2","k",1
Gaming Session Planning,"gonna grab a drink brb in 2","k, hurry back the queue just popped.",0
Gaming Session Planning,"You still there? The match is about to start.","yo",1
Gaming Session Planning,"You still there? The match is about to start.","yo I'm back, did I miss anything important?",0
Tech Podcast Interview,"So you're saying the key differentiator is not just the algorithm itself, but the proprietary dataset you've trained it on.","yeah",1
Tech Podcast Interview,"So you're saying the key differentiator is not just the algorithm itself, but the proprietary dataset you've trained it on.","yeah, that's precisely it, and that dataset is something our competitors simply can't replicate.",0
Tech Podcast Interview,"And that initial seed round was for about two million dollars, correct?","yes",1
Tech Podcast Interview,"And that initial seed round was for about two million dollars, correct?","yes, that gave us the runway we needed to hire our core engineering team.",0
Tech Podcast Interview,"Our platform integrates directly with existing enterprise software, pulling data in real-time.","uh-huh",1
Tech Podcast Interview,"Our platform integrates directly with existing enterprise software, pulling data in real-time.","uh-huh, and what's the typical integration timeline for a new enterprise client?",0
Tech Podcast Interview,"We've found that Gen Z is our fastest-growing user segment, which was initially surprising to us.","hmm",1
Tech Podcast Interview,"We've found that Gen Z is our fastest-growing user segment, which was initially surprising to us.","hmm, why do you think that demographic is resonating so much with your product?",0
Tech Podcast Interview,"Our user growth last quarter was over 300% after the new feature launch.","wow",1
Tech Podcast Interview,"Our user growth last quarter was over 300% after the new feature launch.","wow, that's an insane metric, was that all organic growth or was there a marketing push behind it?",0
Tech Podcast Interview,"So the AI acts as a co-pilot for the developer, not as a replacement.","right",1
Tech Podcast Interview,"So the AI acts as a co-pilot for the developer, not as a replacement.","right, so how do you prevent developers from becoming overly reliant on the tool?",0
Tech Podcast Interview,"To scale up, we had to migrate our entire infrastructure from AWS to a multi-cloud environment.","okay",1
Tech Podcast Interview,"To scale up, we had to migrate our entire infrastructure from AWS to a multi-cloud environment.","okay, can you walk us through the challenges you faced during that migration?",0
Tech Podcast Interview,"We chose to focus on a narrow vertical initially to prove our product-market fit before expanding.","i see",1
Tech Podcast Interview,"We chose to focus on a narrow vertical initially to prove our product-market fit before expanding.","i see, and how do you manage the complexity of all those services communicating with each other?",0
Tech Podcast Interview,"We had to maintain two separate codebases during the transition, which really slowed down our feature velocity.","i understand",1
Tech Podcast Interview,"We had to maintain two separate codebases during the transition, which really slowed down our feature velocity.","i understand, what was the final catalyst to finally deprecate the legacy system?",0
Tech Podcast Interview,"Honestly, the biggest challenge wasn't the technology, it was convincing an old-school industry to embrace a new way of working.","i hear you",1
Tech Podcast Interview,"Honestly, the biggest challenge wasn't the technology, it was convincing an old-school industry to embrace a new way of working.","i hear you, that cultural barrier can be even harder to overcome than the technical ones.",0
Tech Podcast Interview,"So we're not just selling a tool, we're selling a new, more efficient workflow.","exactly",1
Tech Podcast Interview,"So we're not just selling a tool, we're selling a new, more efficient workflow.","exactly, and how do you train your customers to adopt that new workflow effectively?",0
Tech Podcast Interview,"You also have to consider the regulatory hurdles in the fintech space, which can be a huge barrier to entry.","good point",1
Tech Podcast Interview,"You also have to consider the regulatory hurdles in the fintech space, which can be a huge barrier to entry.","good point, how has your company navigated the compliance landscape in Europe versus the US?",0
Tech Podcast Interview,"The network effect is a powerful moat for our business; the more users we have, the more valuable the service becomes.","indeed",1
Tech Podcast Interview,"The network effect is a powerful moat for our business; the more users we have, the more valuable the service becomes.","indeed, but how do you bootstrap that network effect from zero?",0
Tech Podcast Interview,"I think having a strong company culture is non-negotiable for long-term success.","absolutely",1
Tech Podcast Interview,"I think having a strong company culture is non-negotiable for long-term success.","absolutely, what are some specific rituals or practices you use to build and maintain that culture?",0
Tech Podcast Interview,"So if I'm understanding this right, your annual recurring revenue is now north of ten million?","correct",1
Tech Podcast Interview,"So if I'm understanding this right, your annual recurring revenue is now north of ten million?","correct, we hit that milestone in Q2 of this year.",0
Customer Support Complaint,"I understand your frustration, and I want to assure you that I'm here to help you get this resolved.","yeah",1
Customer Support Complaint,"I understand your frustration, and I want to assure you that I'm here to help you get this resolved.","yeah, but I've been trying to get it resolved for a week now and nobody has helped me.",0
Customer Support Complaint,"Okay, so just to confirm, the serial number on the bottom of the device is ZT5-88B-91C?","yes",1
Customer Support Complaint,"Okay, so just to confirm, the serial number on the bottom of the device is ZT5-88B-91C?","yes, and I've already given that number to three other agents today.",0
Customer Support Complaint,"So first, I'll need you to unplug the device from the wall outlet for at least 60 seconds.","uh-huh",1
Customer Support Complaint,"So first, I'll need you to unplug the device from the wall outlet for at least 60 seconds.","uh-huh, I did that already, it didn't do anything.",0
Customer Support Complaint,"It looks like the system is showing your order was delivered successfully on the 15th.","hmm",1
Customer Support Complaint,"It looks like the system is showing your order was delivered successfully on the 15th.","hmm, that's not possible, I was home all day and nothing ever arrived.",0
Customer Support Complaint,"I see here in my system that your warranty actually expired last month.","oh",1
Customer Support Complaint,"I see here in my system that your warranty actually expired last month.","oh, are you telling me you can't do anything to help me then?",0
Customer Support Complaint,"So you're saying the device powers on, but it won't connect to your WiFi network.","right",1
Customer Support Complaint,"So you're saying the device powers on, but it won't connect to your WiFi network.","right, and all my other devices connect just fine so I know it's not my router.",0
Customer Support Complaint,"I'm going to put you on a brief hold for one to two minutes while I review your account details.","okay",1
Customer Support Complaint,"I'm going to put you on a brief hold for one to two minutes while I review your account details.","ok, but can you please not transfer me again? I've been transferred four times already.",0
Customer Support Complaint,"What I can do is process a replacement unit to be shipped out to you. It should arrive in 3-5 business days.","alright",1
Customer Support Complaint,"What I can do is process a replacement unit to be shipped out to you. It should arrive in 3-5 business days.","alright, but can you expedite the shipping? I need it sooner than that.",0
Customer Support Complaint,"I'm seeing a note on your file from a previous call indicating that a full reset was attempted.","i see",1
Customer Support Complaint,"I'm seeing a note on your file from a previous call indicating that a full reset was attempted.","i see, and did the note mention that the reset made the problem even worse?",0
Customer Support Complaint,"So, you need to go to the settings menu, then select 'Network', and then 'Forget This Network'.","got it",1
Customer Support Complaint,"So, you need to go to the settings menu, then select 'Network', and then 'Forget This Network'.","got it, but the screen is frozen and I can't select anything.",0
Customer Support Complaint,"The reason we need you to try it in a different power outlet is to rule out a faulty socket before we declare the device defective.","that makes sense",1
Customer Support Complaint,"The reason we need you to try it in a different power outlet is to rule out a faulty socket before we declare the device defective.","that makes sense, but I've already plugged it in three different rooms and it's the same result.",0
Customer Support Complaint,"I can definitely understand how frustrating it is when a brand new product doesn't work as expected.","i understand",1
Customer Support Complaint,"I can definitely understand how frustrating it is when a brand new product doesn't work as expected.","i understand, so what are you going to do to fix it?",0
Customer Support Complaint,"Would you be able to provide me with the order number from your confirmation email?","sure",1
Customer Support Complaint,"Would you be able to provide me with the order number from your confirmation email?","sure, the number is 112-554-89, but the last person I talked to said it wasn't in your system.",0
Customer Support Complaint,"...and once you've done that, the light should turn green. Are you still with me?","hello",1
Customer Support Complaint,"...and once you've done that, the light should turn green. Are you still with me?","hello? Yes I'm here, you cut out for a second, what did you say about the light?",0
Remote Stand-up Meeting,"So, my main blocker right now is waiting for the API key from the infrastructure team.","yeah",1
Remote Stand-up Meeting,"So, my main blocker right now is waiting for the API key from the infrastructure team.","yeah, I had that same issue last week, you should ping Dave directly.",0
Remote Stand-up Meeting,"Yesterday I finished refactoring the user authentication service and today I'll be writing the unit tests for it.","uh-huh",1
Remote Stand-up Meeting,"Yesterday I finished refactoring the user authentication service and today I'll be writing the unit tests for it.","uh-huh, did you remember to account for the new MFA requirement in the tests?",0
Remote Stand-up Meeting,"The build is failing in the CI/CD pipeline, but it runs fine on my local machine.","hmm",1
Remote Stand-up Meeting,"The build is failing in the CI/CD pipeline, but it runs fine on my local machine.","hmm, have you checked if the environment variables are configured correctly in the pipeline?",0
Remote Stand-up Meeting,"Just a heads-up, they're deprecating the v1 API we're using at the end of this quarter.","oh",1
Remote Stand-up Meeting,"Just a heads-up, they're deprecating the v1 API we're using at the end of this quarter.","oh, I didn't see that email. We need to create a ticket for that migration ASAP.",0
Remote Stand-up Meeting,"So the blocker is that the design specs from the UX team don't include error states for the form.","right",1
Remote Stand-up Meeting,"So the blocker is that the design specs from the UX team don't include error states for the form.","right, I'll follow up with them after this call to get those added to the Figma file.",0
Remote Stand-up Meeting,"I'll take the action item to schedule a follow-up meeting with the product team to clarify these requirements.","okay",1
Remote Stand-up Meeting,"I'll take the action item to schedule a follow-up meeting with the product team to clarify these requirements.","ok, can you please invite me to that meeting as well?",0
Remote Stand-up Meeting,"To test this, you'll need to use the VPN and connect to the staging database, not the production one.","gotcha",1
Remote Stand-up Meeting,"To test this, you'll need to use the VPN and connect to the staging database, not the production one.","gotcha, what are the credentials for the staging database?",0
Remote Stand-up Meeting,"I managed to fix that deployment bug yesterday, so the pipeline is unblocked now.","great",1
Remote Stand-up Meeting,"I managed to fix that deployment bug yesterday, so the pipeline is unblocked now.","great, does that mean the staging environment is stable enough for QA to begin testing?",0
Remote Stand-up Meeting,"The performance issue seems to be caused by a memory leak in the data processing module.","i see",1
Remote Stand-up Meeting,"The performance issue seems to be caused by a memory leak in the data processing module.","i see, have we created a ticket to track the investigation for that leak?",0
Remote Stand-up Meeting,"We need to finish the back-end work before the mobile team can start because they depend on our API.","that makes sense",1
Remote Stand-up Meeting,"We need to finish the back-end work before the mobile team can start because they depend on our API.","that makes sense, what's the new ETA for the API then?",0
Remote Stand-up Meeting,"I just pushed the final version of the API documentation to Confluence.","perfect",1
Remote Stand-up Meeting,"I just pushed the final version of the API documentation to Confluence.","perfect, I'll review it today and let you know if I have any questions.",0
Remote Stand-up Meeting,"We should also consider how this change will affect mobile users, not just desktop.","good point",1
Remote Stand-up Meeting,"We should also consider how this change will affect mobile users, not just desktop.","good point, I'll add a task to run our test suite on an emulated mobile device.",0
Remote Stand-up Meeting,"We're holding off on that feature until next sprint to align with the marketing team's launch schedule.","makes sense",1
Remote Stand-up Meeting,"We're holding off on that feature until next sprint to align with the marketing team's launch schedule.","makes sense, so should I move that ticket back to the product backlog?",0
Remote Stand-up Meeting,"Hey thanks for reviewing my pull request on such short notice.","no problem",1
Remote Stand-up Meeting,"Hey thanks for reviewing my pull request on such short notice.","no problem, I left a few comments that you'll need to address before I can approve it.",0
Food Vlogger Review,"Okay, the texture on this barbecue is just insane, it literally melts in your mouth.","yeah",1
Food Vlogger Review,"Okay, the texture on this barbecue is just insane, it literally melts in your mouth.","yeah, it's way better than that place we went to last week.",0
Food Vlogger Review,"And they make their own pickles in-house, you get that sourness cutting through the rich flavor of the meat.","uh-huh",1
Food Vlogger Review,"And they make their own pickles in-house, you get that sourness cutting through the rich flavor of the meat.","uh-huh, I need to ask them if they sell these by the jar.",0
Food Vlogger Review,"Just listen to this crunch on the fried chicken... it's perfectly seasoned.","mhmm",1
Food Vlogger Review,"Just listen to this crunch on the fried chicken... it's perfectly seasoned.","mhmm, this is honestly the best fried chicken I've had in Atlanta.",0
Food Vlogger Review,"And get this - the chef told me they brine it for a full 48 hours before frying.","oh",1
Food Vlogger Review,"And get this - the chef told me they brine it for a full 48 hours before frying.","oh, that explains why it's so juicy on the inside.",0
Food Vlogger Review,"Okay, look at the cheese pull on this slice of pizza! It just keeps going!","wow",1
Food Vlogger Review,"Okay, look at the cheese pull on this slice of pizza! It just keeps going!","wow, can you get that in slow-motion for the video?",0
Food Vlogger Review,"This is that Neapolitan style, so the crust is super thin in the middle with a big puffy edge.","right",1
Food Vlogger Review,"This is that Neapolitan style, so the crust is super thin in the middle with a big puffy edge.","right, but it's still crispy on the bottom, it's not soggy at all.",0
Food Vlogger Review,"Alright, I'm going in for a bite of the dessert now, this is the triple chocolate lava cake.","okay",1
Food Vlogger Review,"Alright, I'm going in for a bite of the dessert now, this is the triple chocolate lava cake.","okay, save some for me, it looks incredible.",0
Food Vlogger Review,"And on Tuesdays, they have half-price appetizers all day long.","sweet",1
Food Vlogger Review,"And on Tuesdays, they have half-price appetizers all day long.","sweet, we should tell everyone in the comments to come on a Tuesday.",0
Food Vlogger Review,"The owner just came over and gave us this extra dish to try on the house!","awesome",1
Food Vlogger Review,"The owner just came over and gave us this extra dish to try on the house!","awesome, what is it? It smells amazing.",0
Food Vlogger Review,"It's a little pricey, but for the quality you're getting, it's definitely worth it.","that's true",1
Food Vlogger Review,"It's a little pricey, but for the quality you're getting, it's definitely worth it.","that's true, you would pay way more for this level of quality downtown.",0
Food Vlogger Review,"So it's not just spicy, there's a real complexity to the heat, you can taste the different types of chilis.","exactly",1
Food Vlogger Review,"So it's not just spicy, there's a real complexity to the heat, you can taste the different types of chilis.","exactly, it has that smoky chipotle flavor but then a bright heat at the end.",0
Food Vlogger Review,"Should we get another order of these truffle fries?","of course",1
Food Vlogger Review,"Should we get another order of these truffle fries?","of course, we can't leave until we have more of these.",0
Food Vlogger Review,"Check this out, the ramen broth has been simmering for over 24 hours.","yo",1
Food Vlogger Review,"Check this out, the ramen broth has been simmering for over 24 hours.","yo, you can totally tell, the flavor is so deep.",0
NPR Author Interview,"And it seems that the main character's journey is not just a physical one, but a deep exploration of his own past.","yes",1
NPR Author Interview,"And it seems that the main character's journey is not just a physical one, but a deep exploration of his own past.","yes, that was very intentional. I wanted the landscape to be a mirror for his internal state.",0
NPR Author Interview,"You spend a great deal of the second chapter describing the market, with all of its sounds and smells.","uh-huh",1
NPR Author Interview,"You spend a great deal of the second chapter describing the market, with all of its sounds and smells.","uh-huh, because that market is really a microcosm of the entire city and its conflicts.",0
NPR Author Interview,"So you chose to write the novel from three different characters' perspectives, which is a complex undertaking.","hmm",1
NPR Author Interview,"So you chose to write the novel from three different characters' perspectives, which is a complex undertaking.","hmm, I'm not sure I ever thought of it as a choice. The story simply couldn't be told through a single lens.",0
NPR Author Interview,"It's interesting that the antagonist isn't a person, but rather the slow decay of the town itself.","oh",1
NPR Author Interview,"It's interesting that the antagonist isn't a person, but rather the slow decay of the town itself.","oh, I think that's a very astute reading of it, yes.",0
NPR Author Interview,"I wrote that line on a flight to Atlanta, actually, feeling very disconnected from the world below.","ah",1
NPR Author Interview,"I wrote that line on a flight to Atlanta, actually, feeling very disconnected from the world below.","ah, that certainly explains the sense of detachment in that passage.",0
NPR Author Interview,"So the recurring image of the lone magpie is a symbol of the protagonist's isolation.","right",1
NPR Author Interview,"So the recurring image of the lone magpie is a symbol of the protagonist's isolation.","right, but it's also a symbol of resilience, of finding a way to survive alone.",0
NPR Author Interview,"So I spent about six months in the national archives, just reading through old ship logs.","i see",1
NPR Author Interview,"So I spent about six months in the national archives, just reading through old ship logs.","i see, what was the most surprising thing you discovered in those logs?",0
NPR Author Interview,"I ended up cutting a character that was very dear to me, simply because she wasn't serving the larger narrative arc.","that makes sense",1
NPR Author Interview,"I ended up cutting a character that was very dear to me, simply because she wasn't serving the larger narrative arc.","that makes sense, though it must have been a painful decision to make.",0
NPR Author Interview,"The final chapter takes place twenty years after the main events of the book, which gives the reader some perspective.","i understand",1
NPR Author Interview,"The final chapter takes place twenty years after the main events of the book, which gives the reader some perspective.","i understand, what made you decide to include that time jump instead of ending on the climax?",0
NPR Author Interview,"So the setting itself, the house, becomes a character in its own right.","absolutely",1
NPR Author Interview,"So the setting itself, the house, becomes a character in its own right.","absolutely, its decay mirrors the family's falling apart.",0
NPR Author Interview,"It seems to be a story about memory, and how unreliable it can be.","indeed",1
NPR Author Interview,"It seems to be a story about memory, and how unreliable it can be.","indeed, and how a family can build a collective memory that is at odds with reality.",0
NPR Author Interview,"That must have been a difficult chapter to write, emotionally.","certainly",1
NPR Author Interview,"That must have been a difficult chapter to write, emotionally.","certainly, I had to step away from the manuscript for several weeks after finishing it.",0
NPR Author Interview,"I wonder if you could read a short passage for us?","of course",1
NPR Author Interview,"I wonder if you could read a short passage for us?","of course, I'll read from the beginning of chapter three.",0
WiFi Troubleshooting,"The little light with the globe icon next to it should be solid green, not blinking.","yeah",1
WiFi Troubleshooting,"The little light with the globe icon next to it should be solid green, not blinking.","yeah, it's definitely blinking. What does that mean?",0
WiFi Troubleshooting,"Did you try turning it off and on again? Like, the main router.","yes",1
WiFi Troubleshooting,"Did you try turning it off and on again? Like, the main router.","yes, I unplugged it for a minute just like you said.",0
WiFi Troubleshooting,"Okay, now you need to open a web browser, like Chrome or Safari.","uh-huh",1
WiFi Troubleshooting,"Okay, now you need to open a web browser, like Chrome or Safari.","uh-huh, okay, I opened the 'e' thing, is that right?",0
WiFi Troubleshooting,"In the address bar at the very top, you have to type in 192.168.1.1 and hit enter.","hmm",1
WiFi Troubleshooting,"In the address bar at the very top, you have to type in 192.168.1.1 and hit enter.","hmm, it's not working, it just took me to a Google search.",0
WiFi Troubleshooting,"It's asking for a username and password. It should be printed on the sticker on the bottom of the router.","oh",1
WiFi Troubleshooting,"It's asking for a username and password. It should be printed on the sticker on the bottom of the router.","oh, I see it. It's really tiny, let me get my glasses.",0
WiFi Troubleshooting,"So the password for the WiFi is 'password', but with a zero instead of an 'o' and an exclamation point at the end.","right",1
WiFi Troubleshooting,"So the password for the WiFi is 'password', but with a zero instead of an 'o' and an exclamation point at the end.","right, so it's p-a-s-s-w-0-r-d-exclamation point?",0
WiFi Troubleshooting,"Just wait a few minutes for all the lights to come back on. Don't touch anything.","okay",1
WiFi Troubleshooting,"Just wait a few minutes for all the lights to come back on. Don't touch anything.","ok, how long is a few minutes? The TV is still not working.",0
WiFi Troubleshooting,"Now try to connect your phone to the network again. It should show up in your WiFi list.","alright",1
WiFi Troubleshooting,"Now try to connect your phone to the network again. It should show up in your WiFi list.","alright, I'm looking... I see 'xfinitywifi' and 'Smith_Network_5G', which one is it?",0
WiFi Troubleshooting,"No, don't click 'Factory Reset', that will erase everything. Just click 'Reboot'.","gotcha",1
WiFi Troubleshooting,"No, don't click 'Factory Reset', that will erase everything. Just click 'Reboot'.","gotcha, okay, rebooting now. How can they put those buttons so close together?",0
WiFi Troubleshooting,"The problem is that too many devices are connected at once and it's kicking the older ones off.","i see",1
WiFi Troubleshooting,"The problem is that too many devices are connected at once and it's kicking the older ones off.","i see, so is that why the smart toaster keeps going offline?",0
WiFi Troubleshooting,"Unplug the black power cord from the back of the box for 30 seconds.","got it",1
WiFi Troubleshooting,"Unplug the black power cord from the back of the box for 30 seconds.","got it, but there are two black cords, which one?",0
WiFi Troubleshooting,"We pay for 200 megabits per second, but because the router is so old, you're only getting about 20 in the living room.","that makes sense",1
WiFi Troubleshooting,"We pay for 200 megabits per second, but because the router is so old, you're only getting about 20 in the living room.","that makes sense, so do we need to buy a new one?",0
WiFi Troubleshooting,"Did you click the button? Dad? Are you still there?","hello",1
WiFi Troubleshooting,"Did you click the button? Dad? Are you still there?","hello, yes, sorry, I was just writing down the password you told me.",0
Dinner Debate,"I'm kinda feeling pizza tonight, something easy.","yeah",1
Dinner Debate,"I'm kinda feeling pizza tonight, something easy.","yeah, but we had pizza on Monday, didn't we?",0
Dinner Debate,"So we agree, no cooking tonight, right?","yes",1
Dinner Debate,"So we agree, no cooking tonight, right?","yes, I absolutely do not have the energy to wash a single dish.",0
Dinner Debate,"Okay, so there's that new Thai place on Uber Eats that has really good reviews for their Pad See Ew.","uh-huh",1
Dinner Debate,"Okay, so there's that new Thai place on Uber Eats that has really good reviews for their Pad See Ew.","uh-huh, what else do they have? I'm not really in a noodle mood.",0
Dinner Debate,"I could also go for tacos. The place down the street has deals on Tuesdays.","mhmm",1
Dinner Debate,"I could also go for tacos. The place down the street has deals on Tuesdays.","mhmm, but remember how long the wait was last time we tried that?",0
Dinner Debate,"What about just getting burgers?","hmm",1
Dinner Debate,"What about just getting burgers?","hmm, I don't know, I had a big lunch, I was thinking something lighter.",0
Dinner Debate,"Wait, I totally forgot, I have leftover chicken and rice in the fridge from yesterday.","oh",1
Dinner Debate,"Wait, I totally forgot, I have leftover chicken and rice in the fridge from yesterday.","oh, nice! Is there enough for both of us?",0
Dinner Debate,"So if we order from here, the delivery fee is an extra eight bucks.","right",1
Dinner Debate,"So if we order from here, the delivery fee is an extra eight bucks.","right, so maybe we should just go pick it up ourselves.",0
Dinner Debate,"Alright, let's just flip a coin. Heads for Indian, tails for Mexican.","okay",1
Dinner Debate,"Alright, let's just flip a coin. Heads for Indian, tails for Mexican.","ok, but if it's Indian, can we make sure to get garlic naan?",0
Dinner Debate,"I'm fine with Chinese food if you are.","sure",1
Dinner Debate,"I'm fine with Chinese food if you are.","sure, as long as we can get crab rangoon and scallion pancakes.",0
Dinner Debate,"My coupon only works on orders over thirty dollars, so we need to add one more thing.","gotcha",1
Dinner Debate,"My coupon only works on orders over thirty dollars, so we need to add one more thing.","gotcha, let's just add an order of spring rolls then.",0
Dinner Debate,"I just found a 30% off promo code for DoorDash.","sweet",1
Dinner Debate,"I just found a 30% off promo code for DoorDash.","sweet, does that work for any restaurant?",0
Dinner Debate,"That pizza place is good, but it always takes them over an hour to deliver.","that's true",1
Dinner Debate,"That pizza place is good, but it always takes them over an hour to deliver.","that's true, and I'm already starving.",0
Dinner Debate,"I'm sending you the link to the menu now.","k",1
Dinner Debate,"I'm sending you the link to the menu now.","k, let me know what you want and I'll add it to the cart.",0
Virtual Fitness Class,"You should be feeling that burn right in your glutes now, keep that core tight!","ya",1
Virtual Fitness Class,"You should be feeling that burn right in your glutes now, keep that core tight!","yeah, am I supposed to feel it in my lower back too?",0
Virtual Fitness Class,"Last ten seconds of this plank, you've got this, everyone! Can you hold it?","yes",1
Virtual Fitness Class,"Last ten seconds of this plank, you've got this, everyone! Can you hold it?","yes, but my form is starting to shake, is that okay?",0
Virtual Fitness Class,"Okay, now we're moving into jumping jacks. Just get that heart rate up.","uh huh",1
Virtual Fitness Class,"Okay, now we're moving into jumping jacks. Just get that heart rate up.","uh-huh, how long are we doing these for?",0
Virtual Fitness Class,"Remember to land softly on the balls of your feet, protect those knees.","mmhmm",1
Virtual Fitness Class,"Remember to land softly on the balls of your feet, protect those knees.","mhmm, my left knee is clicking a little bit, should I modify?",0
Virtual Fitness Class,"And time! Grab a quick sip of water. You have 30 seconds.","oh",1
Virtual Fitness Class,"And time! Grab a quick sip of water. You have 30 seconds.","oh, thank goodness, what's the next exercise we're doing?",0
Virtual Fitness Class,"Look at that, we just burned over 200 calories in that first circuit alone!","wow",1
Virtual Fitness Class,"Look at that, we just burned over 200 calories in that first circuit alone!","wow, I'm already sweating more than I did all last week.",0
Virtual Fitness Class,"So you want to keep your back straight, chest up, and sink down like you're sitting in a chair.","right",1
Virtual Fitness Class,"So you want to keep your back straight, chest up, and sink down like you're sitting in a chair.","right, so my knees shouldn't go past my toes?",0
Virtual Fitness Class,"Alright team, we're going to do that whole circuit one more time from the top.","ok",1
Virtual Fitness Class,"Alright team, we're going to do that whole circuit one more time from the top.","okay... can you remind me what the first exercise was again?",0
Virtual Fitness Class,"When you do the push-up, lead with your chest, not your head.","gotcha",1
Virtual Fitness Class,"When you do the push-up, lead with your chest, not your head.","gotcha, I think I was doing that wrong the whole time.",0
Virtual Fitness Class,"And for our cool-down, we're just going to do some light stretching to my favorite chill playlist.","sweet",1
Virtual Fitness Class,"And for our cool-down, we're just going to do some light stretching to my favorite chill playlist.","sweet, what's the name of this song? I love it.",0
Virtual Fitness Class,"Okay, we're going to hold this stretch for 30 seconds on each side.","perfect",1
Virtual Fitness Class,"Okay, we're going to hold this stretch for 30 seconds on each side.","perfect, am I supposed to feel this in my hamstring?",0
Virtual Fitness Class,"Don't forget to breathe! In through the nose, out through the mouth.","hey, quick question, what's a good modification if I can't do a full burpee?",0
Virtual Fitness Class,"Alright, we're switching to mountain climbers in 3... 2... 1... go!","k",1
Virtual Fitness Class,"Alright, we're switching to mountain climbers in 3... 2... 1... go!","k... how many of these are we doing?",0
Financial Advisor Meeting,"So, just to confirm, your primary goal for this investment is long-term growth for retirement, correct?","yes",1
Financial Advisor Meeting,"So, just to confirm, your primary goal for this investment is long-term growth for retirement, correct?","yes, but I'd also like to keep some cash liquid for a potential down payment on a house.",0
Financial Advisor Meeting,"Based on your age and risk tolerance, I'd suggest a diversified portfolio with a 70% allocation in equities and 30% in fixed-income assets.","uh-huh",1
